1,Chicago Fire,Chicago,USA,Major League Soccer,Toyota Park,20000,41.7648273,-87.806134
2,Colorado Rapids,Commerce City,USA,Major League Soccer,Dick's Sporting Goods Park,18086,39.8056867,-104.8918117
3,Columbus Crew SC,Columbus,USA,Major League Soccer,Mapfre Stadium,20145,40.009082,-82.991228
4,D.C. United,Washington,USA,Major League Soccer,RFK Stadium,20000,38.889451,-76.9722271
5,FC Dallas,Frisco,USA,Major League Soccer,Toyota Stadium,20500,33.1543339,-96.8351719
6,Houston Dynamo,Houston,USA,Major League Soccer,BBVA Compass Stadium,22039,29.7521988,-95.3524146
7,Los Angeles Galaxy,Carson,USA,Major League Soccer,StubHub Center,27000,33.8643378,-118.2611224
8,Montreal Impact,Montreal,Canada,Major League Soccer,Saputo Stadium,20801,45.5622947,-73.5530323
9,New England Revolution,Foxborough,USA,Major League Soccer,Gillette Stadium,20000,42.0909458,-71.2643465
10,New York City FC,New York,USA,Major League Soccer,Yankee Stadium,30000,40.829642,-73.9261745
11,New York Red Bulls,New York,USA,Major League Soccer,Red Bull Arena,25000,40.7369888,-74.1496956
12,Orlando City SC,Orlando,USA,Major League Soccer,Citrus Bowl,19500,28.5390409,-81.4027449
13,Philadelphia Union,Chester,USA,Major League Soccer,Talen Energy Stadium,18500,39.8327671,-75.3784346
14,Portland Timbers,Portland,USA,Major League Soccer,Providence Park,21144,45.5215978,-122.6916811
15,Real Salt Lake,Salt Lake City,USA,Major League Soccer,Rio Tinto Stadium,20213,40.5829314,-111.8933608
16,San Jose Earthquakes,San Jose,USA,Major League Soccer,Avaya Stadium,18000,37.3512567,-121.9253289
17,Seattle Sounders FC,Seattle,USA,Major League Soccer,CenturyLink Field,40000,47.5951518,-122.3316393
18,Sporting Kansas City,Kansas City,USA,Major League Soccer,Children's Mercy Park,18467,39.1214043,-94.8233414
19,Toronto FC,Toronto,Canada,Major League Soccer,BMO Field,30991,43.6331399,-79.4187182
20,Vancouver Whitecaps FC,Vancouver,Canada,Major League Soccer,BC Place,22500,49.27675,-123.111999
21,A.F.C. Bournemouth,Bournemouth,England,Premier League,Dean Court,11700,50.735278,-1.838333
22,Arsenal,London,England,Premier League,Emirates Stadium,60272,51.555,-0.108611
23,Aston Villa,Birmingham,England,Premier League,Villa Park,42682,52.509167,-1.884722
24,Chelsea,London,England,Premier League,Stamford Bridge,41798,51.481667,-0.191111
25,Crystal Palace,London,England,Premier League,Selhurst Park,26309,51.398333,-0.085556
26,Everton,Liverpool,England,Premier League,Goodison Park,39571,53.438889,-2.966389
27,Leicester City,Leicester,England,Premier League,King Power Stadium,32500,52.620278,-1.142222
28,Liverpool,Liverpool,England,Premier League,Anfield,45276,53.430833,-2.960833
29,Manchester City,Manchester,England,Premier League,Etihad Stadium,55000,53.483056,-2.200278
30,Manchester United,Manchester,England,Premier League,Old Trafford,75635,53.463056,-2.291389
31,Newcastle United,Newcastle,England,Premier League,St. James' Park,52405,54.975556,-1.621667
32,Norwich City,Norwich,England,Premier League,Carrow Road,27033,52.622222,1.309167
33,Southampton,Southampton,England,Premier League,St. Mary's Stadium,32689,50.905833,-1.391111
34,Stoke City,Stoke,England,Premier League,Britannia Stadium,27740,52.988333,-2.175556
35,Sunderland,Sunderland,England,Premier League,Stadium of Light,49000,54.914444,-1.388333
36,Swansea City,Swansea,Wales,Premier League,Liberty Stadium,20937,51.642778,-3.934722
37,Tottenham Hotspur,London,England,Premier League,White Hart Lane,36284,51.603333,-0.065833
38,Watford,Watford,England,Premier League,Vicarage Road,21577,51.65,-0.401667
39,West Bromwich Albion,West Bromwich,England,Premier League,The Hawthorns,26445,52.509167,-1.9638889
40,West Ham United,London,England,Premier League,Boleyn Ground,35345,51.531944,0.039444
41,1. FC Koln,Cologne,Germany,Bundesliga,RheinEnergieStadion,50000,50.9334609,6.872958
42,1899 Hoffenheim,Sinsheim,Germany,Bundesliga,Wirsol Rhein-Neckar-Arena,30150,49.2380877,8.885636
43,Bayer Leverkusen,Leverkusen,Germany,Bundesliga,BayArena,30210,51.0382091,7.0000679
44,Bayern Munich,Munich,Germany,Bundesliga,Allianz Arena,75000,48.2187997,11.6225185
45,Borussia Dortmund,Dortmund,Germany,Bundesliga,Signal Iduna Park,81359,51.4925888,7.4496687
46,Borussia Monchengladbach,Monchengladbach,Germany,Bundesliga,Stadion im Borussia-Park,54010,51.1745698,6.3833168
47,Darmstadt 98,Darmstadt,Germany,Bundesliga,Merck-Stadion am Bollenfalltor,17000,49.857722,8.6701891
48,Eintracht Frankfurt,Frankfurt,Germany,Bundesliga,Commerzbank-Arena,51500,50.0685807,8.6432833
49,FC Augsburg,Augsburg,Germany,Bundesliga,WWK ARENA,30660,48.323139,10.886
50,FC Ingolstadt,Ingolstadt,Germany,Bundesliga,Audi-Sportpark,15000,48.7454622,11.4810349
51,Hamburger SV,Hamburg,Germany,Bundesliga,Volksparkstadion,57000,53.5871279,9.8964117
52,Hannover 96,Hanover,Germany,Bundesliga,HDI-Arena,49000,52.3600211,9.7290051
53,Hertha BSC,Berlin,Germany,Bundesliga,Olympiastadion,74475,52.5146971,13.2373099
54,Mainz 05,Mainz,Germany,Bundesliga,Coface Arena,34000,49.9839442,8.2222116
55,Schalke 04,Gelsenkirchen,Germany,Bundesliga,Veltins-Arena,62271,51.5546309,7.0653375
56,VfB Stuttgart,Stuttgart,Germany,Bundesliga,Mercedes-Benz Arena,60441,48.7922577,9.2298913
57,VfL Wolfsburg,Wolfsburg,Germany,Bundesliga,Volkswagen Arena,30000,52.432639,10.8017003
58,Werder Bremen,Bremen,Germany,Bundesliga,Weserstadion,42100,53.0664328,8.8354165
59,Atletico Bilbao,Bilbao,Spain,La Liga,Estadio San Mames,53289,43.2643372,-2.9488527
60,Atletico Madrid,Madrid,Spain,La Liga,Vincente Calderon Stadium,54907,40.4016875,-3.7203241
61,Barcelona,Barcelona,Spain,La Liga,Camp Nou,99786,41.3810288,2.1234421
62,Real Betis,Sevilla,Spain,La Liga,Benito Villamarin Stadium,52500,37.356525,-5.9814946
63,Celta Vigo,Vigo,Spain,La Liga,Estadio de Balaidos,29000,42.2120166,-8.739913
64,Deportivo La Coruna,La Coruna,Spain,La Liga,Ciudad Deportiva de Riazor,34639,43.3686677,-8.4169471
65,Eibar,Eibar,Spain,La Liga,Estadio Ipurua,6300,43.1817554,-2.4757003
66,Espanyol,Barcelona,Spain,La Liga,Cornella-El Prat Stadium,40500,41.3478567,2.0755592
67,Getafe,Getafe,Spain,La Liga,Coliseum Alfonso Perez,17393,40.3258044,-3.714897
68,Granada,Granada,Spain,La Liga,Nuevo Estadio Los Carmenes,22524,37.1528278,-3.5955279
69,Las Palmas,Las Palmas,Spain,La Liga,Estadio Gran Canaria,32150,28.1003258,-15.4563594
70,Levante,Valencia,Spain,La Liga,Estadio Ciutad de Valencia,25534,39.494661,-0.3636539
71,Malaga,Malaga,Spain,La Liga,La Rosaleda,30044,36.7340684,-4.4269562
72,Rayo Vallecano,Madrid,Spain,La Liga,Campo de Futbol de Vallecas,14708,40.3918746,-3.6586787
73,Real Madrid,Madrid,Spain,La Liga,Santiago Bernabeu,85454,40.4530176,-3.6882862
74,Real Sociedad,San Sebastian,Spain,La Liga,Anoeta Stadium,32076,43.3014584,-1.9730584
75,Sevilla,Sevilla,Spain,La Liga,Ramon Sanchez Pizjuan,45500,37.3840443,-5.9704806
76,Sporting de Gijon,Gijon,Spain,La Liga,Estadio El Molinon,29029,43.5362844,-5.6373074
77,Valencia,Valencia,Spain,La Liga,Estadio de Mestalla,55000,39.4745276,-0.3579619
78,Villarreal,Villareal,Spain,La Liga,El Madrigal,24890,39.9441243,-0.1031202
79,America,Mexico City,Mexico,Liga MX,Estadio Azteca,95000,19.3029569,-99.150517
80,Atlas,Guadalajara,Mexico,Liga MX,Estadio Jalisco,56713,20.7051502,-103.3281125
81,Chiapas,Tuxtla Gutierrez,Mexico,Liga MX,Estadio Zoque Victor Manuel Reyna,24290,16.7627554,-93.0962401
82,Cruz Azul,Mexico City,Mexico,Liga MX,Estadio Azul,33042,19.3835127,-99.1784585
83,Guadalajara,Zapopan,Mexico,Liga MX,Estadio Omnilife,46232,20.6818216,-103.4626348
84,Leon,Leon,Mexico,Liga MX,Leon Stadium,31297,21.1156505,-101.6577565
85,Monterrey,Monterrey,Mexico,Liga MX,Estadio BBVA Bancomer,51000,25.6690874,-100.2446171
86,Morelia,Morelia,Mexico,Liga MX,Estadio Jose Maria Morelos y Pavon,35000,19.7187932,-101.2333357
